,program_id,project_id,major_id,program_name_th,program_type_name_th,major_name_th,project_name_th,min_score,max_score,min_score_ds,max_score_ds,est_min_score_mean,est_min_score_mean_sd,est_min_score_regression,receive_student_number,scores
4777,10280106703701A,0,E,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,วิทยาศาสตร์ทั่วไป,0,94.0,97.75,93.75,97.75,93.75,93.75,93.75,5.0,{'gpax': 100}
4778,10280106703701A,0,H,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เกษตรศาสตร์,0,78.25,93.5,71.0,93.5,71.0,71.0,71.0,5.0,{'gpax': 100}
4779,10280106703701A,0,K,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เอกฟิสิกส์,0,64.75,98.75,80.25,94.0,80.25,80.25,80.25,20.0,{'gpax': 100}
4780,10280106703701A,0,B,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คณิตศาสตร์,0,99.0,99.75,98.5,99.75,98.5,98.5,98.5,5.0,{'gpax': 100}
4781,10280106703701A,0,C,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คอมพิวเตอร์,0,69.0,94.5,63.25,94.5,63.25,63.25,63.25,7.0,{'gpax': 100}
4782,10280106703701A,0,E,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,วิทยาศาสตร์ทั่วไป,0,94.0,97.75,93.75,97.75,93.75,93.75,93.75,5.0,{'gpax': 100}
4783,10280106703701A,0,H,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เกษตรศาสตร์,0,78.25,93.5,71.0,93.5,71.0,71.0,71.0,5.0,{'gpax': 100}
4784,10280106703701A,0,K,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เอกฟิสิกส์,0,64.75,98.75,80.25,94.0,80.25,80.25,80.25,20.0,{'gpax': 100}
4785,10280106703701A,0,B,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คณิตศาสตร์,0,99.0,99.75,98.5,99.75,98.5,98.5,98.5,5.0,{'gpax': 100}
4786,10280106703701A,0,C,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,คอมพิวเตอร์,0,69.0,94.5,63.25,94.5,63.25,63.25,63.25,7.0,{'gpax': 100}
4787,10280106703701A,0,E,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,วิทยาศาสตร์ทั่วไป,0,94.0,97.75,93.75,97.75,93.75,93.75,93.75,5.0,{'gpax': 100}
4788,10280106703701A,0,H,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เกษตรศาสตร์,0,78.25,93.5,71.0,93.5,71.0,71.0,71.0,5.0,{'gpax': 100}
4789,10280106703701A,0,K,ค.บ.นวัตกรรมการจัดการเรียนรู้,ภาษาไทย ปกติ,เอกฟิสิกส์,0,64.75,98.75,80.25,94.0,80.25,80.25,80.25,20.0,{'gpax': 100}
4790,10320101220302H,0,0,วิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ข้อมูลสุขภาพ,Joint Degree - ภาษาไทย,0,0,59.4854,66.311,58.7833,66.311,60.3302,60.3302,62.674,31.0,"{'cal_type': '1', 'cal_score_sum': 100, 'cal_subject_name': 'gpa22 gpa23 gpa28 tgat tpat3 a_lv_61 a_lv_66 a_lv_82'}"
4791,10320102111701A,C0241,0,พยาบาลศาสตรบัณฑิต,ภาษาไทย ปกติ,0,โครงการศรัทธาจุฬาภรณ์ ,61.333,68.0998,60.3498,65.8497,62.2554,63.7025,62.7645,14.0,"{'tgat1': 30, 'tgat2': 20, 'tgat3': 20, 'tpat3': 30}"
4792,10320103111603A,C0341,0,วิทยาศาสตรบัณฑิต สาขาวิชาฉุกเฉินการแพทย์,ภาษาไทย ปกติ,0,โครงการศรัทธาจุฬาภรณ์,57.4825,67.2575,56.59,67.2575,58.2885,59.2296,58.2885,33.0,"{'gpax': 30, 'a_lv_61': 10, 'a_lv_64': 10, 'a_lv_65': 10, 'a_lv_66': 15, 'a_lv_70': 5, 'a_lv_81': 5, 'a_lv_82': 15}"
